src,dst
159,1
159,4
160,5
160,2
160,0
160,1
160,4
161,5
161,2
161,0
161,1
161,4
162,5
162,2
162,0
162,1
162,4
163,5
163,2
163,0
163,1
163,4
164,5
164,2
164,0
164,1
164,4
165,5
165,2
165,0
165,1
165,4
166,5
166,2
166,0
166,1
166,4
167,5
167,2
167,0
167,1
167,4
168,5
168,2
168,0
168,1
168,4
169,5
169,2
169,0
169,1
169,4
170,5
170,2
170,0
170,1
170,4
171,5
171,2
171,0
171,1
171,4
172,5
172,2
172,0
172,1
172,4
173,5
173,2
173,0
173,1
173,4
174,5
174,2
174,0
174,1
174,4
175,5
175,2
175,0
175,1
175,4
176,5
176,2
176,0
176,1
176,4
177,5
177,2
177,0
177,1
177,4
178,5
178,2
178,0
178,1
178,4
179,5
179,2
179,0
179,1
179,4
180,5
180,2
180,0
180,1
180,4
181,5
181,2
181,0
181,1
181,4
182,5
182,2
182,0
182,1
182,4
183,5
183,2
183,0
183,1
183,4
184,5
184,2
184,0
184,1
184,4
185,5
185,2
185,0
185,1
185,4
186,5
186,2
186,0
186,1
186,4
187,5
187,2
187,0
187,1
187,4
188,5
188,2
188,0
188,1
188,4
189,5
189,2
189,0
189,1
189,4
190,5
190,2
190,0
190,1
190,4
191,5
191,2
191,0
191,1
191,4
192,5
192,2
192,0
192,1
192,4
193,5
193,2
193,0
193,1
193,4
194,5
194,2
194,0
194,1
194,4
195,5
195,2
195,0
195,1
195,4
196,5
196,2
196,0
196,1
196,4
197,5
197,2
197,0
197,1
197,4
198,5
198,2
198,0
198,1
198,4
199,5
199,2
199,0
199,1
199,4
200,5
200,2
200,0
200,1
200,4
201,5
201,2
201,0
201,1
201,4
202,5
202,2
202,0
202,1
202,4
203,5
203,2
203,0
203,1
203,4
204,5
204,2
204,0
204,1
204,4
205,5
205,2
205,0
205,1
205,4
206,5
206,2
206,0
206,1
206,4
207,5
207,2
207,0
207,1
207,4
208,5
208,2
208,0
208,1
208,4
209,5
209,2
209,0
209,1
209,4
210,5
210,2
210,0
210,1
210,4
211,5
211,2
211,0
211,1
211,4
212,5
212,2
212,0
212,1
212,4
213,5
213,2
213,0
213,1
213,4
214,5
214,2
214,0
214,1
214,4
215,5
215,2
215,0
215,1
215,4
216,5
216,2
216,0
216,1
216,4
217,5
217,2
217,0
217,1
217,4
218,5
218,2
218,0
218,1
218,4
219,5
219,2
219,0
219,1
219,4
220,5
220,2
220,0
220,1
220,4
221,5
221,2
221,0
221,1
221,4
222,5
222,2
222,0
222,1
222,4
223,5
223,2
223,0
223,1
223,4
224,5
224,2
224,0
224,1
224,4
225,5
225,2
225,0
225,1
225,4
226,5
226,2
226,0
226,1
226,4
227,5
227,2
227,0
227,1
227,4
228,5
228,2
228,0
228,1
228,4
229,5
229,2
229,0
229,1
229,4
230,5
230,2
230,0
230,1
230,4
231,5
231,2
231,0
231,1
231,4
232,5
232,2
232,0
232,1
232,4
233,5
233,2
233,0
233,1
233,4
234,5
234,2
234,0
234,1
234,4
235,5
235,2
235,0
235,1
235,4
236,5
236,2
236,0
236,1
236,4
237,5
237,2
237,0
237,1
237,4
238,5
238,2
238,0
238,1
238,4
239,5
239,2
239,0
239,1
239,4
240,5
240,2
240,0
240,1
240,4
241,5
241,2
241,0
241,1
241,4
242,5
242,2
242,0
242,1
242,4
243,5
243,2
243,0
243,1
243,4
244,5
244,2
244,0
244,1
244,4
245,5
245,2
245,0
245,1
245,4
246,5
246,2
246,0
246,1
246,4
247,5
247,2
247,0
247,1
247,4
248,5
248,2
248,0
248,1
248,4
249,5
249,2
249,0
249,1
249,4
250,5
250,2
250,0
250,1
250,4
251,5
251,2
251,0
251,1
251,4
252,5
252,2
252,0
252,1
252,4
253,5
253,2
253,0
253,1
253,4
254,5
254,2
254,0
254,1
254,4
255,5
255,2
255,0
255,1
255,4
256,5
256,2
256,0
256,1
256,4
257,5
257,2
257,0
257,1
257,4
258,5
258,2
258,0
258,1
258,4
259,5
259,2
259,0
259,1
259,4
260,5
260,2
260,0
260,1
260,4
261,5
261,2
261,0
261,1
261,4
262,5
262,2
262,0
262,1
262,4
263,5
263,2
263,0
263,1
263,4
264,5
264,2
264,0
264,1
264,4
265,5
265,2
265,0
265,1
265,4
266,5
266,2
266,0
266,1
266,4
267,5
267,2
267,0
267,1
267,4
268,5
268,2
268,0
268,1
268,4
269,5
269,2
269,0
269,1
269,4
270,5
270,2
270,0
270,1
270,4
271,5
271,2
271,0
271,1
271,4
272,5
272,2
272,0
272,1
272,4
273,5
273,2
